,Name,Price,Reviews
262,"Mi A1 (Black, 64 GB)","13,999",4.4
263,"Redmi 5A (Grey, 32 GB)","6,999",4.4
264,"Redmi Y2 (Gold, 64 GB)","12,850",4.4
265,"Redmi 6 (Blue, 64 GB)","8,499",4.4
266,"Redmi Y2 (Black, 64 GB)","8,499",4.4
267,"Mi A2 (Red, 64 GB)","13,470",4.2
268,"Redmi 6 (Black, 64 GB)","8,499",4.4
269,"Redmi Note 5 Pro (Blue, 64 GB)","13,999",4.5
270,"Mi A2 (Black, 128 GB)","13,999",4.1
271,"Redmi 6 Pro (Lake Blue, 64 GB)","8,820",4.3
272,"Redmi 6 Pro (Red, 64 GB)","13,295",4.3
273,"Redmi Y2 (Rose Gold, 32 GB)","8,689",4.5
274,"Mi 4i (White, 16 GB)","7,990",4.2
275,"Redmi Note 4 (Black, 32 GB)","10,499",4.4
276,"Redmi 6 Pro (Gold, 64 GB)","9,150",4.3
277,"Redmi 6A (Blue, 32 GB)","6,450",4.3
278,"Redmi K20 (Pearl White, 64 GB)","21,999",4.5
279,"Redmi Note 5 (Blue, 32 GB)","10,999",4.4
280,"Redmi Note 5 Pro (Rose Gold, 64 GB)","13,790",4.5
281,"Redmi 6 (Rose Gold, 64 GB)","8,499",4.4
282,"Mi 4i (Yellow, 16 GB)","12,999",4.2
283,"Redmi Note 7 (Sapphire Blue, 32 GB)","12,998",4.4
284,"Redmi Note 3 (Gold, 32 GB)","11,999",4.3
285,"Redmi Y3 (Bold Red, 64 GB)","10,465",4.4
286,"Redmi Note 7S (Ruby Red, 32 GB)","9,999",4.4
287,"Redmi Note 9 (Scarlet Red, 64 GB)","13,799",4.4
288,"Redmi Y2 (Black, 32 GB)","10,499",4.5
289,"Mi A1 (Red, 64 GB)","14,999",4.4
290,"Redmi 9 (Carbon Black, 64 GB)","10,980",4.1
291,"Redmi Note 5 Pro (Blue, 64 GB)","11,501",4.5
292,"Redmi 6 Pro (Black, 32 GB)","7,700",4.3
293,"Redmi Note 7 (Onyx Black, 32 GB)","11,990",4.4
294,"Redmi Note 6 Pro (Black, 64 GB)","11,349",4.5
295,"Mi A2 (Blue/Lake Blue, 64 GB)","13,990",4.2
296,"Redmi Note 4 (Gold, 64 GB)","10,990",4.4
297,"Redmi 3S (Gold, 16 GB)","6,999",4.3
298,"Redmi 6 Pro (Black, 64 GB)","7,900",4.3
299,"Redmi Note 4 (Gold, 32 GB)","9,490",4.4
300,"Redmi Note 4 (Dark Grey, 64 GB)","11,500",4.4
301,"Redmi 9 Prime (MintGreen, 64 GB)","11,999",4.3
302,"Redmi 9 (Sky Blue, 64 GB)","12,999",4.1
303,"Redmi Note 9 Pro (Interstellar Black, 128 GB)","17,999",4.3
